,eng,deu
727,Tom beat me.,Tom hat mich geschlagen.
728,We'll sing.,Wir werden singen.
729,Is Tom sick?,Ist Tom krank?
730,Who survived?,Wer hat überlebt?
731,Tom cried.,Tom weinte.
732,You are big.,Du bist groß.
733,We know him.,Wir kennen ihn.
734,I'm a nurse.,Ich bin eine Krankenschwester.
735,Leave Tom.,Verlassen Sie Tom.
736,Tom dozed.,Tom döste.
737,He quit.,Er hat gekündigt.
738,It's cloudy.,Es ist bewölkt.
739,Come get it.,Komm und hol es dir.
740,I am a cook.,Ich bin ein Koch.
741,We're people.,Wir sind Menschen.
742,Are you hot?,Ist dir heiß?
743,Food is food.,Essen ist Essen.
744,I'm watching.,Ich schaue zu.
745,He is driven.,Er will hoch hinaus.
746,I'm fat.,Ich bin dick.
747,We need help.,Wir brauchen Hilfe.
748,We love it.,Wir lieben es.
749,Tom's crazy.,Tom ist bescheuert.
750,This is fish.,Das ist Fisch.
751,I have one.,Ich habe eine.
752,Guess again.,Raten Sie noch einmal!
753,He's fast.,Er ist schnell.
754,Watch Tom.,Sehen Sie Tom zu!
755,Are you lost?,Hast du dich verlaufen?
756,It's correct.,Es stimmt.
757,Tom agreed.,Tom stimmte zu.
758,They did it.,Sie haben es geschafft.
759,Stop that!,Hör mal auf!
760,They stopped.,Sie hörten auf.
761,I am online.,Ich bin im Netz.
762,Be brave.,Seid tapfer!
763,I disagreed.,Ich bin anderer Meinung gewesen.
764,I heard it.,Ich habe es vernommen.
765,Stop that!,Hör auf damit!
766,Get to work.,An die Arbeit!
767,It's unusual.,Es ist ungewöhnlich.
768,That's his.,Das gehört ihm.
769,We all know.,Wir wissen es alle.
770,Take a walk.,Geht spazieren!
771,Make a wish.,Wünsch dir was.
772,Who cheated?,Wer hat geschummelt?
773,Speak slower.,Sprich langsamer.
774,"Come in, Tom.","Komm herein, Tom."
775,I'm a cook.,Ich bin ein Koch.
776,We laughed.,Wir lachten.
777,I'm busy.,Ich bin beschäftigt.
778,It's a steal.,Das ist ein Schnäppchen!
779,I'm patient.,Ich bin geduldig.
780,You are rich.,Sie sind reich.
781,Stick to it!,Bleiben Sie dabei!
782,Get down.,Kommen Sie runter.
783,Have we met?,Kennen wir uns?
784,We prayed.,Wir haben gebetet.
785,I went there.,Ich ging hin.
786,Get started.,Legen Sie los.
787,Tom obeyed.,Tom gehorchte.
788,Take over.,Übernehmt ihr.
789,I ran.,Ich rannte.
790,Bring a hat.,Hol einen Hut.
791,Look ahead.,Schauen Sie nach vorne.
792,Is it there?,Ist es da?
793,Who cheated?,Wer hat betrogen?
794,Put it there.,Stellen Sie es dahin.
795,I'm the best.,Ich bin der Beste.
796,I have kids.,Ich habe Kinder.
797,I'm game.,Ich mache mit.
798,They fell.,Sie stürzten.
799,No way!,In keinster Weise!
800,I like you.,Ich mag dich.
801,It's simple.,Es ist einfach.
802,Tom hid.,Thomas hat sich versteckt.
803,I'm here.,Ich bin hier.
804,I cried.,Ich weinte.
805,I'm dancing.,Ich tanze gerade.
806,I broke it.,Ich habe es kaputtgemacht.
807,It's OK.,Es ist in Ordnung.
808,She slipped.,Sie rutschte aus.
809,Who came?,Wer ist gekommen?
810,That's great!,Das ist großartig!
811,I am a monk.,Ich bin ein Mönch.
812,I'm standing.,Ich stehe.
813,I dozed off.,Ich döste ein.
814,Fantastic!,Fantastisch!
815,You amuse me.,Du amüsierst mich.
816,I eat bread.,Ich esse Brot.
817,Tom was home.,Tom war zu Hause.
818,What's good?,Was ist gut?
819,I'm healthy.,Ich bin bei guter Gesundheit.
820,I'm upstairs.,Ich bin oben.
821,I promise.,Ich versprech's.
822,I'm rich now.,Ich bin jetzt reich.
823,Come forward.,Treten Sie vor.
824,Quit whining.,Hören Sie auf zu jammern!
825,What's that?,Was ist das für ein Ding?
826,We knew this.,Das kannten wir.
827,Goodnight.,Schönen Abend.
828,We're crazy.,Wir sind verrückt.
829,I'll take it.,Ich nehme es.
830,Come on home.,Komm nach Hause.
831,Go that way.,Gehe dort entlang!
832,I broke that.,Ich habe das zerbrochen.
833,Tom smoked.,Tom rauchte.
834,It's hot.,Es ist heiß.
835,Quiet down.,Beruhigt euch.
836,"Here, catch!","Da, fangt!"
837,You keep it.,Die kannst du ruhig behalten.
838,I hate work.,Ich hasse Arbeit.
839,I relaxed.,Ich habe mich entspannt.
840,She lied.,Sie log.
841,She runs.,Sie rennt.
842,That's mine.,Das gehört mir.
843,Tom felt sad.,Tom war traurig.
844,I said stop.,Ich habe gesagt „Hör auf!“
845,He stood up.,Er stand auf.
846,Do it for me.,Tun Sie’s für mich!
847,Give me time.,Gib mir Zeit!
848,Is that love?,Ist das Liebe?
849,"Tea, please.",Tee bitte.
850,I'm amused.,Ich bin amüsiert.
851,Tom's mean.,Tom ist gemein.
852,Don't cry.,Weinen Sie nicht.
853,Who panicked?,Wer ist in Panik ausgebrochen?
854,Turn on CNN.,Schalte mal CNN ein!
855,Get lost!,Mach dich vom Acker!
856,You must eat.,Sie müssen essen.
857,Beat it.,Mach ’ne Fliege!
858,Abandon ship!,Alle Mann von Bord!
859,Tom watched.,Thomas hat zugeschaut.
860,He's my age.,Er hat mein Alter.
861,Get my rifle.,Holt mein Gewehr.
862,Jesus wept.,Jesus weinte.
863,We'll dance.,Wir gehen tanzen.
864,Look down.,Guck runter.
865,I'm in jail.,Ich bin im Gefängnis.
866,I obeyed Tom.,Ich habe Tom gehorcht.
867,Tell Tom no.,Erteil Tom eine Absage.
868,Someone sang.,Irgendwer sang.
869,Tom watched.,Thomas hat zugesehen.
870,I trust you.,Ich verlasse mich auf dich.
871,Tom loved it.,Tom liebte es.
872,Mary came in.,Mary kam herein.
873,He can read.,Er kann lesen.
874,I adored Tom.,Ich verehrte Tom.
875,Be discreet.,Seien Sie diskret!
876,Stop filming.,Hör auf zu filmen!
877,I mean it.,Es ist ernst gemeint von mir.
878,Find a job.,Suchen Sie sich Arbeit.
879,Tom is lying.,Tom lügt.
880,Was Tom here?,War Tom hier?
881,I hear you.,"Ich verstehe, was Sie sagen."
882,Come along.,Komm mit.
883,Many thanks.,Vielen Dank!
884,I stayed.,Ich bin dageblieben.
885,No problem.,Ohne Probleme.
886,Get lost!,Verschwinde!
887,It's stupid.,Das ist blöd.
888,I'm sad.,Ich bin traurig.
889,No one knows.,Niemand weiß es.
890,I'm to blame.,Es ist meine Schuld.
891,Take me home.,Bring mich nach Hause.
892,I can go.,Ich kann gehen.
893,Comfort Tom.,Tröste Tom.
894,No way!,Ausgeschlossen!
895,I'm going.,Ich gehe jetzt.
896,Stop here.,Hör hier auf.
897,They called.,Sie kamen vorbei.
898,It took time.,Das hat gedauert.
899,Take it easy.,Beruhige dich!
900,I'll ask him.,Ich werde ihn fragen.
901,Just try it.,Versuchen Sie's doch einfach!
902,I'm right.,Ich habe recht.
903,I'm OK.,Mir geht's gut.
904,I adore you.,Ich bete euch an.
905,Tom has time.,Tom hat Zeit.
906,How arrogant!,Wie arrogant!
907,It's raining.,Es regnet.
908,Be objective.,Sei objektiv.
909,I disagreed.,Ich stimmte nicht zu.
910,Is she nice?,Ist sie nett?
911,It's too hot.,Es ist zu heiß.
912,I want proof.,Ich will einen Beweis.
913,Come help me.,Bitte kommen Sie mir helfen!
914,Go to sleep.,Gehen Sie schlafen!
915,I nodded.,Ich nickte.
916,He tries.,Er versuchte es.
917,Tom was sick.,Tom war krank.
918,I called Tom.,Ich habe Tom angerufen.
919,Be nice.,Sei nett!
920,I'm not busy.,Ich bin nicht beschäftigt.
921,That'll help.,Das wird helfen.
922,We're even.,Wir sind quitt.
923,I promised.,Ich habe es versprochen.
924,You keep it.,Das können Sie ruhig behalten.
925,Take a bath.,Baden Sie!
926,Money talks.,Geld regiert die Welt.
927,Wait outside.,Warte draußen.
928,It's begun.,Es hat begonnen.
929,How dare you!,Wie können Sie es wagen!
930,Take a bus.,Nehmt einen Bus.
931,Trust no one.,Vertrauen Sie niemandem!
932,Life is hard.,Das Leben ist hart.
933,I am at home.,Ich bin zu Hause.
934,Tom danced.,Tom tanzte.
935,I liked Tom.,Ich mochte Tom.
936,We'll walk.,Wir werden zu Fuß gehen.
937,Head east.,Fahr Richtung Osten.
938,I was moved.,Ich war gerührt.
939,Stop talking.,Sei leise.
940,Kill Tom.,Töte Thomas!
941,I'm late.,Ich komme zu spät.
942,Is Tom happy?,Ist Tom glücklich?
943,She shot him.,Sie schoss auf ihn.
944,Go away.,Mach ’ne Fliege!
945,Who'll drive?,Wer wird fahren?
946,Was it scary?,War es gruselig?
947,I'm so full.,Ich bin so satt.
948,You keep it.,Den könnt ihr ruhig behalten.
949,Tom relented.,Tom lenkte ein.
950,I assume so.,Das nehme ich an.
951,Do you bowl?,Kegelst du?
952,It's hard.,Das ist hart.
953,I miss Tom.,Tom fehlt mir.
954,Have a taste.,Koste mal!
955,I gave up.,Ich gab auf.
956,I feel well.,Es geht mir gut.
957,I went home.,Ich ging nach Hause.
958,It'll break.,Es wird brechen.
959,Is it a wolf?,Ist es ein Wolf?
960,Be careful.,Sieh dich vor!
961,Let's go!,Lasst uns gehen.
962,It'll be OK.,Es wird in Ordnung gehen.
963,Take a bath.,Badet!
964,You're vain.,Sie sind eingebildet.
965,I'm sneaky.,Ich bin hinterlistig.
966,Tom has acne.,Tom hat Akne.
967,He needs it.,Er braucht es.
968,I've got it.,Ich hab’s!
969,I'll ask Tom.,Ich frage mal Tom.
970,Be prepared.,Seien Sie gewappnet!
971,I made it.,Ich habe es geschafft.
972,We'll starve.,Wir werden verhungern.
973,I drink wine.,Ich trinke Wein.
974,I jumped.,Ich bin gesprungen.
975,Burn it.,Verbrenne es!
976,It's too low.,Es ist zu niedrig.
977,It's a fish.,Das ist ein Fisch.
978,I'll stop.,Ich werde aufhören.
979,I hate Tom.,Ich hasse Tom.
980,I chew gum.,Ich kaue Kaugummi.
981,Forgive Tom.,Vergebt Tom!
982,Is this it?,Ist es das?
983,Let me see.,Lassen Sie mich sehen.
984,Tom drinks.,Tom trinkt.
985,We can check.,Wir können es überprüfen.
986,How nice!,Wie schön!
987,I hate milk.,Ich hasse Milch.
988,It worked.,Es hat geklappt.
989,You can help.,Du kannst helfen.
990,Tom cheered.,Tom jubelte.
991,How was it?,Wir war es?
992,Release Tom.,Lass Tom frei!
993,Tom got hurt.,Tom hat sich verletzt.
994,Don't smile.,Lächel nicht!
995,Put it on.,Setz sie dir auf.
996,I'm fine.,Es geht mir gut.
997,It was white.,Sie war weiß.
998,Tom dived.,Tom tauchte.
999,We're here.,Wir sind hier.
1000,Shame on you.,Schäme dich!
1001,Have some.,Nimm dir davon.
1002,I was alone.,Ich war allein.
1003,Come over.,Komm her!
1004,I oppose it.,Ich bin dagegen.
1005,We're late.,Wir sind spät dran.
1006,Return fire.,Schießen Sie zurück.
1007,Shame on you!,Schäm dich!
1008,"Come on, Tom.","Komm schon, Tom!"
1009,Are we ready?,Sind wir so weit?
1010,Try and sing.,Versuch’s einmal und sing!
1011,Are you sure?,Sind Sie sicher?
1012,Tom's sick.,Tom ist krank.
1013,He tried.,Er versuchte es.
1014,I'm certain.,Ich bin mir sicher.
1015,I was stoned.,Ich war bekifft.
1016,I thought so.,Das habe ich mir gedacht.
1017,I'm happy.,Ich bin glücklich.
1018,Terrific!,Sagenhaft!
1019,Thanks.,Danke!
1020,I work a lot.,Ich arbeite viel.
1021,Who stayed?,Wer blieb?
1022,Take a walk.,Gehen Sie spazieren!
1023,Is it for me?,Ist das für mich?
1024,Tom escaped.,Tom entkam.
1025,I'm popular.,Ich bin beliebt.
1026,Nobody ran.,Niemand ist gelaufen.
1027,Take mine.,Nehmt meinen.
1028,What gives?,Was ist los?
1029,I'm relaxed.,Ich bin entspannt.
1030,I'm no saint.,Ich bin keine Heilige.
1031,Join us.,Komm mit.
1032,Use caution.,Lasst Vorsicht walten!
1033,Do you smoke?,Raucht ihr?
1034,We forgot.,Wir haben es vergessen.
1035,Tom goofed.,Tom hat einen dummen Fehler gemacht.
1036,She is a fox.,Sie ist ein Fuchs.
1037,Go away.,Verdufte!
1038,Do you teach?,Unterrichten Sie?
1039,Tom was busy.,Tom war beschäftigt.
1040,Tom is tipsy.,Tom hat einen im Tee.
1041,Describe Tom.,Beschreibe Tom.
1042,Where is he?,Wo ist er?
1043,He was wrong.,Er lag falsch.
1044,I'm a lawyer.,Ich bin Rechtsanwalt.
1045,Tom is bad.,Tom ist schlecht.
1046,Help Tom out.,Unterstützt Tom!
1047,I'm watching.,Ich beobachte.
1048,I like tea.,Ich mag Tee.
1049,He lost face.,Er hat das Gesicht verloren.
1050,We like Tom.,Wir mögen Tom.
1051,Can Tom walk?,Kann Tom gehen?
1052,They'll fail.,Sie werden versagen.
1053,Tom knows us.,Tom kennt uns.
1054,Talk slower.,Rede langsamer.
1055,I need air.,Ich brauche Luft.
1056,We're OK.,Wir sind in Ordnung.
1057,Freeze!,Keine Bewegung!
1058,Tom quit.,Tom hat aufgehört.
1059,You need it.,Sie brauchen es.
1060,Work slowly.,Arbeitet langsam.
1061,Keep it.,Behalten Sie sie!
1062,Here's Tom.,Hier ist Tom.
1063,Stand aside.,Gehen Sie zur Seite!
1064,What a loss!,Was für ein Verlust!
1065,I love books.,Ich liebe Bücher.
1066,I made tea.,Ich machte Tee.
1067,Open it.,Öffne es!
1068,She fainted.,Sie wurde ohnmächtig.
1069,Quiet down.,Seid leise.
1070,Stop lying.,Hören Sie auf zu lügen.
1071,"Wake up, Tom.","Steh auf, Tom!"
1072,I'm broke.,Ich bin pleite.
1073,Tom yelled.,Tom hat geschrien.
1074,I'm chicken.,Ich bin ein Feigling.
1075,All is well.,Alles ist gut.
1076,Get away!,Verpiss dich!
1077,Tom painted.,Tom malte.
1078,It's my CD.,Das ist meine CD.
1079,I was scared.,Ich bekam es mit der Angst zu tun.
1080,Tom showered.,Thomas duschte sich.
1081,It hurts.,Es tut weh.
1082,Tell Tom no.,Erteilt Tom eine Absage.
1083,She needs it.,Sie braucht es.
1084,Get my rifle.,Hol mein Gewehr.
1085,Tom is wrong.,Tom irrt sich.
1086,Tom'll wait.,Tom wird warten.
1087,I'm no rebel.,Ich bin kein Aufständischer.
1088,They tried.,Sie versuchten es.
1089,They're fast.,Sie sind schnell.
1090,I whispered.,Ich flüsterte.
1091,This is his.,Das ist seins.
1092,I need a cab.,Ich brauche ein Taxi.
1093,I'm pregnant.,Ich bin schwanger.
1094,Tom ran away.,Tom lief weg.
1095,I am ashamed.,Ich schäme mich.
1096,Don't wait.,Wartet nicht!
1097,Trust in me.,Vertraue mir!
1098,This is ours.,Das ist unseres.
1099,Use caution.,Lass Vorsicht walten!
1100,Tom looks OK.,Tom scheint okay zu sein.
1101,Get away!,Verzieh dich!
1102,I went there.,Ich bin hingegangen.
1103,Tom is small.,Tom ist klein.
1104,I'm winning.,Ich gewinne.
1105,Tom is dizzy.,Tom ist schwindelig.
1106,I know now.,Ich weiß es jetzt.
1107,Don't lie.,Lüge nicht.
1108,Did Tom cry?,Hat Tom geweint?
1109,Catch Tom.,Fangen Sie Tom!
1110,Tom changed.,Tom veränderte sich.
1111,I'm careful.,Ich bin vorsichtig.
1112,Let me help.,Lassen Sie mich Ihnen helfen!
1113,I'm positive.,Ich bin sicher.
1114,How pathetic!,Wie erbärmlich!
1115,You're tidy.,Du bist ordentlich.
1116,Use caution.,Geht vorsichtig zu Werke!
1117,I'll go look.,Ich werde nachschauen.
1118,I'm dieting.,Ich bin auf Diät.
1119,I resigned.,Ich trat zurück.
1120,That's hers.,Das gehört ihr.
1121,Beat it.,Troll dich!
1122,Tom is out.,Tom ist draußen.
1123,I whistled.,Ich habe gepfiffen.
1124,I saved you.,Ich habe euch gerettet.
1125,Come alone.,Kommen Sie allein.
1126,Keep moving.,Bewegen Sie sich weiter!
1127,It is a book.,Das ist ein Buch.
1128,Tom hated it.,Tom hasste es.
1129,Who cares?,Wen kümmert’s?
1130,I speak fast.,Ich spreche schnell.
1131,I care.,Mir ist es wichtig.
1132,It isn't new.,Das ist nichts Neues.
1133,Please hurry!,Bitte beeilen Sie sich.
1134,Who'll start?,Wer wird anfangen?
1135,Take a nap.,Machen Sie ein Nickerchen.
1136,He is happy.,Er ist glücklich.
1137,Go around it.,Geh drumrum.
1138,I'll get up.,Ich werde aufstehen.
1139,I'm wounded.,Ich bin verletzt.
1140,We'll shoot.,Wir werden schießen.
1141,I'm stubborn.,Ich bin stur.
1142,Honesty pays.,Ehrlichkeit zahlt sich aus.
1143,Hold fire.,Nicht schießen!
1144,Pick that up.,Hebt das auf!
1145,Tom spoke.,Tom hat gesprochen.
1146,We liked Tom.,Wir mochten Tom.
1147,I can stay.,Ich kann bleiben.
1148,What's on TV?,Was kommt im Fernsehen?
1149,I spit.,Ich habe gespuckt.
1150,We had fun.,Wir hatten unseren Spaß.
1151,We're going.,Wir gehen.
1152,They slept.,Sie schliefen.
1153,I giggled.,Ich kicherte.
1154,She is eight.,Sie ist acht.
1155,Sign here.,Unterschreibe hier.
1156,Let's begin.,Lasst uns beginnen.
1157,Am I wrong?,Irre ich mich?
1158,Tom is upset.,Tom ist verärgert.
1159,Is that new?,Ist das neu?
1160,Watch Tom.,Seht Tom zu!
1161,Come quick!,Komm schnell!
1162,Tom is my ex.,Tom ist mein Ex.
1163,It's awesome.,Es ist wunderbar.
1164,Come up here.,Komm herauf.
1165,Seriously?,Im Ernst?
1166,Bring backup.,Hol Verstärkung.
1167,Let's start!,Fangen wir an!
1168,It is 7:45.,Es ist 7:45 Uhr.
1169,Wait outside.,Warten Sie draußen.
1170,Tom looked.,Tom schaute.
1171,You're late.,Du kommst spät.
1172,You know him.,Du kennst ihn.
1173,Examine this.,Untersuchen Sie das.
1174,I yawned.,Ich gähnte.
1175,Who's goalie?,Wer ist der Torwart?
1176,Tom tried.,Tom hat es versucht.
1177,I'm not well.,Mir geht's nicht gut.
1178,Tom's flaky.,Tom ist unzuverlässig.
1179,Don't cry.,Weine nicht!
1180,I'm single.,Ich bin ledig.
1181,Tom's strict.,Tom ist streng.
1182,Good for you.,Schön für Sie.
1183,I won't fail.,Ich werde nicht versagen.
1184,I enjoy life.,Das Leben macht mir Freude.
1185,Catch Tom.,Fang Tom!
1186,Forget me.,Vergessen Sie mich!
1187,Did Tom go?,Ist Tom gegangen?
1188,It works.,Es klappt.
1189,It's a fad.,Das ist eine Modeerscheinung.
1190,Tom's wrong.,Tom hat unrecht.
1191,Tom is sweet.,Tom ist ganz reizend.
1192,Tom'll come.,Tom kommt.
1193,I ran home.,Ich rannte nach Hause.
1194,I'm a Pisces.,Ich bin Fisch.
1195,He succeeded.,Er hat's geschafft.
1196,Is Tom tall?,Ist Tom groß?
1197,I love games.,Ich liebe Spiele.
1198,Got it?,Einverstanden?
1199,Please hurry!,Bitte beeilt euch.
1200,Are you cops?,Seid ihr von der Polizei?
1201,I'm sorry.,Es tut mir leid.
1202,Time's up.,Die Zeit ist um.
1203,I am sure.,Ich bin sicher.
1204,I didn't win.,Ich habe nicht gewonnen.
1205,It's a rule.,Es ist eine Regel.
1206,We're afraid.,Wir fürchten uns.
1207,Look it up.,Schlag es nach!
1208,Look at it.,Schau es dir an.
1209,I want them.,Ich will sie.
1210,Dress warmly.,Ziehen Sie sich warm an!
1211,Look closely.,Schau genau hin.
1212,You can rest.,Du kannst ausruhen.
1213,You're tidy.,Ihr seid ordentlich.
1214,They're gone.,Sie sind verschwunden.
1215,You're thin.,Sie sind dünn.
1216,Tom's lonely.,Tom ist einsam.
1217,It's a glove.,Es ist ein Handschuh.
1218,It can't be!,Das ist nicht möglich!
1219,I drank it.,Ich habe es getrunken.
1220,I prefer jam.,Ich ziehe Marmelade vor.
1221,I found it.,Ich habe sie gefunden.
1222,Are you OK?,Geht es dir gut?
1223,I have won.,Ich bin der Sieger.
1224,I need proof.,Ich brauche Beweise.
1225,Tom failed.,Tom versagte.
1226,I threw up.,Ich habe gekotzt.
1227,You amuse me.,Ihr amüsiert mich.
1228,Attack!,Angriff!
1229,Get my rifle.,Holen Sie mein Gewehr.
1230,I like math.,Ich mag Mathe.
1231,Tom ran away.,Thomas rannte weg.
1232,I lost face.,Ich habe das Gesicht verloren.
1233,He squinted.,Er kniff die Augen zu.
1234,I have hives.,Ich habe Nesselsucht.
1235,Follow Tom.,Folge Tom.
1236,Get away!,Troll dich!
1237,Don't worry.,Machen Sie sich keine Gedanken.
1238,Look closer.,Schau genauer hin.
1239,Tom grumbled.,Tom maulte.
1240,I'm fighting.,Ich kämpfe.
1241,Please eat.,Iss bitte!
1242,We knew this.,Das wussten wir.
1243,I met them.,Ich habe sie getroffen.
1244,Wood floats.,Holz schwimmt.
1245,No kidding?,Im Ernst?
1246,I prefer jam.,Ich habe lieber Marmelade.
1247,Aim higher.,Zielen Sie höher!
1248,Surprise me.,Überraschen Sie mich.
1249,Replace it.,Ersetze es.
1250,I'm diabetic.,Ich bin Diabetiker.
1251,Get lost!,Troll dich!
1252,He is not in.,Er ist nicht hier.
1253,We are men.,Wir sind Männer.
1254,I am a boy.,Ich bin ein Junge.
1255,Tom jumped.,Tom ist gesprungen.
1256,I saw him.,Ich habe ihn gesehen.
1257,I'm rich.,Ich bin reich.
1258,Get out.,Geh raus.
1259,I saw you.,Ich habe dich gesehen.
1260,Catch me.,Fang mich!
1261,He ran.,Er rannte.
1262,How weird!,Wie seltsam!
1263,We're paying.,Wir bezahlen.
1264,That's over.,Das ist vorbei.
1265,I was there.,Ich war da.
1266,We can begin.,Wir können anfangen.
1267,That's funny.,Das ist komisch.
1268,Tom is frank.,Tom ist aufrichtig.
1269,Tom teaches.,Tom unterrichtet.
1270,Let me know.,Lass es mich wissen.
1271,Hurry up.,Mach hin!
1272,I don't care.,Egal.
1273,She's hot.,Sie ist heiß.
1274,I like bread.,Ich mag Brot.
1275,It's a TV.,Das ist ein Fernseher.
1276,I surrender.,Ich ergebe mich.
1277,I'm stunned.,Ich bin fassungslos.
1278,We knew that.,Wir kannten das.
1279,I never win.,Ich gewinne nie.
1280,I'm a mother.,Ich bin Mutter.
1281,Freeze!,Stehenbleiben!
1282,That's dumb.,Das ist blöd.
1283,I'm escaping.,Ich bin dabei zu entkommen.
1284,You run.,Sie laufen.
1285,Tom bit Mary.,Tom hat Mary gebissen.
1286,I feel great.,Mir geht's blendend.
1287,Feel this.,Fühl mal.
1288,You're OK.,Du bist okay.
1289,Let's check.,Lasst uns nachprüfen.
1290,We're cold.,Uns ist kalt.
1291,I'm fasting.,Ich faste.
1292,I survived.,Ich überlebte.
1293,Do something.,Macht doch etwas!
1294,Don't scream.,Schrei nicht!
1295,Don't stare.,Starren Sie nicht!
1296,Stay down.,Bleib unten!
1297,Look back.,Schau hinter dich.
1298,Tom came in.,Tom kam rein.
1299,We miss you.,Wir vermissen dich.
1300,You've won!,Sie haben gewonnen!
1301,Get changed.,Zieh dich um.
1302,All was calm.,Alles war ruhig.
1303,I like cake.,Ich mag Kuchen.
1304,I wonder why.,"Ich frage mich, warum."
1305,You won.,Du hast gewonnen.
1306,I loved it.,Ich liebte es.
1307,I will try.,Ich werde es versuchen.
1308,It's urgent.,Es ist dringlich.
1309,This is Tom.,Hier spricht Tom.
1310,Keep away.,Bleib weg.
1311,Keep talking.,Red weiter.
1312,I do want it.,Ich möchte es.
1313,She woke up.,Sie wachte auf.
1314,Let Tom go.,Lass Tom gehen!
1315,I rarely cry.,Ich weine selten.
1316,I'll wait.,Ich werde warten.
1317,I'm eighteen.,Ich bin achtzehn.
1318,Hurry home.,Geh schnell nach Hause.
1319,This is just.,Das ist gerecht.
1320,I'm picky.,Ich bin pingelig.
1321,She cried.,Sie weinte.
1322,Be attentive.,Seid aufmerksam!
1323,Hurry!,Beeil dich!
1324,Let me see.,Lass mich sehen.
1325,No comment.,Kommentarlos!
1326,Keep out!,Eintritt verboten!
1327,How clever!,Wie schlau!
1328,I don't know.,Weiß ich nicht.
1329,We got lucky.,Wir hatten Glück.
1330,He loved her.,Er hat sie geliebt.
1331,Do something.,Machen Sie doch was!
1332,Grab that.,Hol das.
1333,I don't mind.,Es stört mich nicht.
1334,It's there.,Es ist da.
1335,Is that a no?,Ist das ein nein?
1336,Can you help?,Können Sie helfen?
1337,Sit by me.,Setz dich zu mir!
1338,I smell gas.,Ich rieche Benzin.
1339,Tom slept.,Tom schlief.
1340,He's broke.,Er ist pleite.
1341,"Oh, really?","Ach, wirklich?"
1342,You may go.,Sie können gehen.
1343,He hung up.,Er legte auf.
1344,You keep it.,Das könnt ihr ruhig behalten.
1345,Who's next?,Wer ist der Nächste?
1346,Help Tom out.,Unterstützen Sie Tom!
1347,Get away!,Mach dich fort!
1348,They're mine.,Sie gehören mir.
1349,Repeat it.,Wiederhole es!
1350,Tom found it.,Tom hat ihn gefunden.
1351,I loved that.,Das hat mir gefallen!
1352,Tom can read.,Tom kann lesen.
1353,I'm not hurt.,Ich bin nicht verletzt.
1354,Use caution.,Seid vorsichtig!
1355,I'm dyslexic.,Ich bin Legastheniker.
1356,We'll see.,Wir werden sehen.
1357,I live here.,Ich bin hier zu Hause.
1358,Are you in?,Bist du dabei?
1359,No way!,Das gibt’s doch nicht!
1360,I'm chubby.,Ich bin mollig.
1361,Save Tom.,Rette Tom!
1362,I canceled.,Ich sagte ab.
1363,Nobody knew.,Keiner wusste Bescheid.
1364,Turn it off.,Drehe es zu.
1365,Start now.,Beginnen Sie jetzt.
1366,Come in.,Komm herein.
1367,I am ready.,Ich bin fertig.
1368,He was alone.,Er war alleine.
1369,You are rich.,Ihr seid reich.
1370,It's cold.,Es ist kalt.
1371,Stop trying.,Probier es nicht länger.
1372,Mary is cute.,Maria ist süß.
1373,I am a man.,Ich bin ein Mensch.
1374,Ask them.,Frag sie.
1375,Look there.,Sieh dort!
1376,I was awake.,Ich war wach.
1377,I'm a father.,Ich bin Vater.
1378,He is kind.,Er ist liebenswürdig.
1379,Put these on.,Zieh diese hier an.
1380,I'll get it.,Ich werde es holen.
1381,I'm staying.,Ich bleibe.
1382,Definitely!,Auf jeden Fall!
1383,Be careful.,Gib Acht!
1384,I froze.,Ich fror.
1385,Please hurry.,Bitte beeile dich.
1386,Tom's lucky.,Tom hat Glück.
1387,Come on in!,Komm doch herein!
1388,I feel fine.,Es geht mir gut.
1389,Record this.,Nehmen Sie das auf!
1390,Take it.,Nehmt es.
1391,It's hot.,Er ist heiß.
1392,Stop that!,Lass das!
1393,Come again.,Kommt wieder.
1394,Tom is awake.,Tom ist auf.
1395,Sign this.,Unterschreib das.
1396,Tom saw Mary.,Tom sah Maria.
1397,I'm so sorry.,Das tut mir so leid.
1398,We're upset.,Wir sind verärgert.
1399,I'm retired.,Ich bin in Rente.
1400,Keep driving.,Fahr weiter!
1401,That hurt.,Das tat weh.
1402,Go home now.,Geh jetzt nach Hause!
1403,Tom is a kid.,Tom ist ein Kind.
1404,Tom hid.,Thomas versteckte sich.
1405,Happy Easter!,Frohe Ostern!
1406,He is kind.,Er ist freundlich.
1407,You can rest.,Ihr könnt ausruhen.
1408,Nice shot!,Guter Schuss!
1409,We know Tom.,Wir kennen Tom.
1410,I'll pay you.,Ich werde dich bezahlen.
1411,We're broke.,Wir sind pleite.
1412,Don't let go.,Lass nicht los!
1413,Be seated.,Setzen Sie sich.
1414,Are you deaf?,Bist du taub?
1415,Take these.,Nehmen Sie das hier.
1416,I envy her.,Ich beneide sie.
1417,I'm with Tom.,Ich bin bei Tom.
1418,Tom shaved.,Tom hat sich rasiert.
1419,It matters.,Das tut was zur Sache.
1420,Look ahead.,Seien Sie vorausschauend.
1421,I like them.,Ich mag sie.
1422,He's asleep.,Er schläft.
1423,Are you Tom?,Sind Sie Tom?
1424,You can come.,Sie können kommen.
1425,We're rich.,Wir sind reich.
1426,He gave up.,Er gab auf.
